Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,088123,1987,03,27.7,Y
IDCJAC0001,088123,1987,04,34.9,Y
IDCJAC0001,088123,1987,05,142.0,Y
IDCJAC0001,088123,1987,06,154.8,Y
IDCJAC0001,088123,1987,07,88.0,Y
IDCJAC0001,088123,1987,08,69.8,Y
IDCJAC0001,088123,1987,09,38.2,Y
IDCJAC0001,088123,1987,10,55.2,Y
IDCJAC0001,088123,1987,11,50.4,Y
IDCJAC0001,088123,1987,12,70.4,Y
IDCJAC0001,088123,1988,01,81.6,Y
IDCJAC0001,088123,1988,02,11.0,Y
IDCJAC0001,088123,1988,03,13.0,Y
IDCJAC0001,088123,1988,04,23.8,Y
IDCJAC0001,088123,1988,05,132.0,Y
IDCJAC0001,088123,1988,06,129.8,Y
IDCJAC0001,088123,1988,07,113.8,Y
IDCJAC0001,088123,1988,08,66.6,Y
IDCJAC0001,088123,1988,09,99.2,Y
IDCJAC0001,088123,1988,10,61.6,Y
IDCJAC0001,088123,1988,11,86.8,Y
IDCJAC0001,088123,1988,12,76.8,Y
IDCJAC0001,088123,1989,01,21.4,Y
IDCJAC0001,088123,1989,02,11.2,Y
IDCJAC0001,088123,1989,03,126.6,Y
IDCJAC0001,088123,1989,04,134.2,Y
IDCJAC0001,088123,1989,05,102.8,Y
IDCJAC0001,088123,1989,06,113.6,Y
IDCJAC0001,088123,1989,07,93.2,Y
IDCJAC0001,088123,1989,08,97.2,Y
IDCJAC0001,088123,1989,09,67.2,Y
IDCJAC0001,088123,1989,10,124.2,Y
IDCJAC0001,088123,1989,11,17.2,Y
IDCJAC0001,088123,1989,12,24.0,Y
IDCJAC0001,088123,1990,01,8.2,Y
IDCJAC0001,088123,1990,02,91.6,Y
IDCJAC0001,088123,1990,03,22.4,Y
IDCJAC0001,088123,1990,04,78.2,Y
IDCJAC0001,088123,1990,05,21.6,Y
IDCJAC0001,088123,1990,06,95.6,Y
IDCJAC0001,088123,1990,07,170.2,Y
IDCJAC0001,088123,1990,08,102.6,Y
IDCJAC0001,088123,1990,09,46.4,Y
IDCJAC0001,088123,1990,10,66.8,Y
IDCJAC0001,088123,1990,11,29.4,Y
IDCJAC0001,088123,1990,12,26.6,Y
IDCJAC0001,088123,1991,01,61.8,Y
IDCJAC0001,088123,1991,02,0.0,Y
IDCJAC0001,088123,1991,03,15.8,Y
IDCJAC0001,088123,1991,04,24.6,Y
IDCJAC0001,088123,1991,05,11.8,Y
IDCJAC0001,088123,1991,06,199.8,Y
IDCJAC0001,088123,1991,07,75.6,Y
IDCJAC0001,088123,1991,08,130.6,Y
IDCJAC0001,088123,1991,09,99.2,Y
IDCJAC0001,088123,1991,10,11.2,Y
IDCJAC0001,088123,1991,11,29.4,Y
IDCJAC0001,088123,1991,12,76.2,Y
IDCJAC0001,088123,1992,01,24.4,Y
IDCJAC0001,088123,1992,02,10.8,Y
IDCJAC0001,088123,1992,03,21.8,Y
IDCJAC0001,088123,1992,04,58.2,Y
IDCJAC0001,088123,1992,05,123.0,Y
IDCJAC0001,088123,1992,06,81.8,Y
IDCJAC0001,088123,1992,07,48.8,Y
IDCJAC0001,088123,1992,08,128.6,Y
IDCJAC0001,088123,1992,09,135.2,Y
IDCJAC0001,088123,1992,10,151.2,Y
IDCJAC0001,088123,1992,11,106.6,Y
IDCJAC0001,088123,1992,12,113.2,Y
IDCJAC0001,088123,1993,01,117.8,Y
IDCJAC0001,088123,1993,02,50.4,Y
IDCJAC0001,088123,1993,03,54.6,Y
IDCJAC0001,088123,1993,04,8.2,Y
IDCJAC0001,088123,1993,05,61.2,Y
IDCJAC0001,088123,1993,06,45.8,Y
IDCJAC0001,088123,1993,07,122.0,Y
IDCJAC0001,088123,1993,08,92.6,Y
IDCJAC0001,088123,1993,09,188.6,Y
IDCJAC0001,088123,1993,10,76.2,Y
IDCJAC0001,088123,1993,11,81.2,Y
IDCJAC0001,088123,1993,12,91.4,Y
IDCJAC0001,088123,1994,01,50.0,Y
IDCJAC0001,088123,1994,02,79.6,Y
IDCJAC0001,088123,1994,03,4.4,Y
IDCJAC0001,088123,1994,04,11.4,Y
IDCJAC0001,088123,1994,05,74.2,Y
IDCJAC0001,088123,1994,06,121.0,Y
IDCJAC0001,088123,1994,07,11.2,Y
IDCJAC0001,088123,1994,08,38.6,Y
IDCJAC0001,088123,1994,09,24.0,Y
IDCJAC0001,088123,1994,10,28.0,Y
IDCJAC0001,088123,1994,11,33.0,Y
IDCJAC0001,088123,1994,12,3.8,Y
IDCJAC0001,088123,1995,01,78.6,Y
IDCJAC0001,088123,1995,02,33.4,Y
IDCJAC0001,088123,1995,03,31.0,Y
IDCJAC0001,088123,1995,04,85.6,Y
IDCJAC0001,088123,1995,05,110.0,Y
IDCJAC0001,088123,1995,06,171.4,Y
IDCJAC0001,088123,1995,07,128.6,Y
IDCJAC0001,088123,1995,08,32.8,Y
IDCJAC0001,088123,1995,09,46.4,Y
IDCJAC0001,088123,1995,10,85.2,Y
IDCJAC0001,088123,1995,11,59.4,Y
IDCJAC0001,088123,1995,12,19.6,Y
